Gene ID	Log2Ratio	p-value	Max RPKM
NM_133637	-2.67	2.74E-01	1131.10
NM_001938	1.15	9.42E-03	98050.19
NM_018370	0.37	4.61E-01	20598.31
NM_178454	0.03	9.37E-01	4989.07
NM_006442	0.84	2.93E-02	32983.33
NM_198545	-0.81	3.85E-01	113.46
NM_145038	2.63	3.50E-01	29.15
NM_000794	3.88	3.71E-01	1729.37
NM_000795	0.30	7.69E-01	49.75
NM_016574	0.30	8.39E-01	27.00
NM_033663	-0.19	1.42E-01	1.14
NM_000796	-0.13	1.41E-01	1.10
NM_000797	1.17	4.00E-01	179.35
NM_000798	-2.57	3.47E-01	5.94
NM_004147	0.33	3.05E-01	27509.47
NM_001388	0.09	8.34E-01	6916.26
NM_001080520	4.15	2.77E-01	17.75
NM_001100412	0.18	6.92E-01	11328.80
NM_013235	0.52	3.14E-01	17358.95
NM_001939	-0.31	7.19E-01	414.28
NM_004948	-4.13	7.87E-02	203.35
NM_024421	-3.83	7.02E-02	163.57
NM_024422	-3.68	8.19E-03	20927.10
NM_004949	-0.81	3.43E-01	970.66
NM_024423	1.84	3.03E-01	424.01
NM_001941	4.85	2.77E-01	5784.70
NM_001389	-7.40	2.34E-01	32393.62
NM_020693	-7.49	1.98E-01	1774.01
NM_024094	0.14	8.79E-01	13286.11
NR_027695	-2.78	3.47E-01	6.87
NM_006052	-0.03	9.27E-01	22248.21
NM_005867	-2.98	3.47E-01	7.90
NR_026841	-5.78	2.08E-01	54.79
NR_026840	-5.45	2.04E-01	43.76
NR_026838	-5.32	2.24E-01	40.02
NR_026839	-5.03	1.83E-01	32.66
NR_026842	-4.86	1.36E-01	29.03
NR_026719	4.57	3.47E-01	23.83
NM_001080976	2.72	1.12E-01	7434.81
NM_013352	5.00	9.37E-04	26184.06
NM_032160	4.96	8.43E-03	45400.28
NM_001942	-0.98	6.28E-01	26.26
NM_001943	0.28	6.57E-01	90677.03
NM_001944	-0.29	3.27E-01	78.71
NM_024918	0.32	4.17E-01	351.63
NM_001145318	0.58	3.30E-01	6416.53
NM_001145315	0.73	3.20E-01	5507.39
NM_001145316	0.78	1.26E-01	3262.10
NM_001145317	1.42	1.53E-01	1257.31
NM_004415	-3.90	8.43E-03	217922.18
NM_001008844	-2.82	1.93E-02	54319.72
NM_014208	-0.32	8.16E-01	23.75
NM_015548	-1.42	1.64E-01	21714.84
NM_001144771	-0.55	3.81E-01	1986.73
NM_001723	0.86	1.94E-01	10411.56
NM_183380	1.23	3.21E-02	42101.63
NM_001144770	1.97	4.28E-01	14753.26
NM_001144769	2.33	2.82E-02	58267.96
NM_020388	5.34	7.60E-04	14824.89
NM_006870	-0.07	9.04E-01	289428.95
NM_001011546	0.53	2.35E-01	5644.70
NM_199462	-0.35	3.99E-01	12796.27
NM_015375	-0.29	4.45E-01	24494.37
NM_080820	1.28	6.26E-02	27599.20
NM_080664	-0.34	3.21E-01	15263.28
NM_001136536	-4.27	3.47E-01	19.35
NM_016448	0.12	8.45E-01	33326.91
NM_032981	-2.23	1.39E-01	573.93
NM_001391	-0.94	3.76E-01	584.15
NM_001390	-0.68	5.73E-01	1122.23
NM_032979	-0.36	8.12E-01	530.14
NM_001128175	0.10	9.35E-01	205.31
NM_032975	0.27	8.42E-01	2029.02
NM_032980	0.50	5.49E-01	162.61
NM_001392	0.92	4.78E-01	560.59
NM_032978	1.15	2.24E-01	1124.56
NM_033148	-1.65	2.86E-01	595.28
NM_183361	-1.58	3.05E-01	578.58
NM_033147	-1.11	5.62E-02	330.30
NM_183360	-0.55	4.70E-01	573.04
NM_021907	-0.35	5.25E-01	1097.01
NM_183040	-0.26	4.36E-01	1555.05
NM_183041	0.18	7.89E-01	3057.83
NM_032122	0.23	7.68E-01	387.42
NM_001144955	-0.52	5.83E-01	1838.16
NM_020234	0.78	3.79E-01	884.15
NM_173666	-1.15	8.67E-02	20236.72
NM_004416	-5.92	2.21E-01	2132.63
NM_001102596	-0.47	3.20E-01	3437.30
NM_001102594	-0.37	3.02E-01	4314.62
NM_020892	0.27	7.20E-01	987.01
NM_001102595	0.61	3.11E-01	6609.75
NR_023383	-1.15	3.09E-01	875.29
NM_178502	-1.60	1.41E-02	11308.81
NM_138287	1.49	1.95E-01	34238.19
NM_015177	-3.63	6.05E-02	10309.28
NM_012145	0.86	1.96E-01	22246.06
NM_175940	-1.26	2.27E-01	154.13
NM_017434	-0.86	3.68E-01	68.13
NM_014080	-2.24	1.52E-02	18.10
NM_144565	-0.73	6.02E-01	2.07
NM_207581	8.97	3.47E-01	0.00
NM_022156	-1.07	1.58E-01	21944.81
NM_017803	-0.06	9.10E-01	4792.57
NM_001161619	0.02	8.97E-01	81.76
NM_020175	1.11	6.20E-02	12029.47
NM_181581	-0.85	7.20E-02	2551.89
NM_004417	-0.21	8.70E-01	54513.98
NM_144728	-0.40	8.14E-01	1147.14
NM_144729	0.01	9.90E-01	231.82
NM_007207	0.39	7.18E-01	11580.87
NM_003584	0.31	4.13E-01	10423.59
NM_007240	0.45	2.96E-01	7693.83
NM_001007272	-5.90	1.55E-01	68.98
NM_001007271	-5.67	2.32E-01	114.60
NM_016364	-5.59	1.73E-01	69.05
NM_001007273	-4.98	1.94E-01	77.89
NM_007026	0.77	1.14E-01	28460.94
NM_001012644	-1.41	3.29E-01	101.72
NM_080611	-0.06	9.70E-01	90.76
NM_177991	0.23	8.96E-01	192.38
NM_030640	-1.46	3.85E-02	46401.23
NM_152511	-0.13	7.36E-01	1111.94
NM_001142314	0.10	9.26E-01	700.01
NM_080876	0.42	7.43E-01	1004.56
NM_004418	-1.52	2.50E-01	5548.70
NM_022076	-1.60	3.47E-01	3.02
NM_020185	-1.53	1.44E-01	3904.70
NM_017823	-0.35	6.96E-01	4212.39
NM_024025	-1.85	4.76E-01	67.27
NM_001080426	-3.98	2.62E-01	34.80
NM_001033575	-2.22	6.24E-03	860.33
NM_004090	-0.37	4.80E-01	63430.65
NM_057158	-3.35	1.52E-01	4190.15
NM_001394	-0.09	9.34E-01	34430.79
NM_004419	0.71	3.54E-01	56314.76
NR_002834	0.57	3.48E-01	703.69
NM_022652	1.73	1.80E-01	3545.73
NM_001946	1.73	1.86E-01	29206.40
NM_001947	2.79	5.54E-04	54185.55
NM_004420	-1.03	1.45E-01	15553.73
NM_001395	-1.37	3.43E-01	1358.14
NM_001025249	-0.12	7.31E-01	170.51
NM_001025248	0.11	8.21E-01	19851.35
NM_001948	1.86	1.82E-01	4615.81
NM_001127389	-2.16	2.97E-01	52.19
NM_001127389	-2.15	3.40E-01	44.71
NM_001127389	-2.15	3.40E-01	44.71
NM_001127389	-2.15	3.40E-01	44.71
NM_001127389	-2.15	3.40E-01	44.56
NM_001127389	-2.15	3.40E-01	44.56
NM_001127389	-1.62	3.47E-01	3.08
NM_001127389	-0.24	3.47E-01	1.18
NM_001012729	-0.49	2.64E-01	202.49
NM_004421	0.43	1.84E-01	34027.21
NM_004422	0.63	8.62E-02	26663.71
NM_004423	-1.07	1.45E-01	85885.30
NM_005510	-0.23	8.18E-01	1361.46
NM_138812	0.33	3.47E-01	0.79
NM_032372	-0.58	2.35E-01	1.49
NM_017653	0.08	8.68E-01	18280.50
NM_173629	1.62	4.86E-01	29.86
NM_001376	0.84	1.09E-01	560412.36
NM_001135557	-2.99	3.60E-01	195.55
NM_001135556	-1.61	3.87E-01	80.72
NM_004411	2.88	3.96E-01	409.42
NM_001378	-0.05	9.23E-01	4109.49
NM_016141	0.86	7.08E-03	33068.78
NM_006141	-0.12	7.30E-01	91032.33
NM_001080463	0.35	3.67E-01	2023.05
NM_016008	-1.70	2.09E-03	1404.66
NM_015522	-1.26	2.76E-02	972.20
NM_001012665	-1.19	2.82E-02	717.33
NM_001037494	-0.17	6.75E-01	1479.02
NM_003746	0.07	8.77E-01	41599.18
NM_001037495	0.89	2.27E-02	36872.26
NM_080677	-1.89	8.77E-03	109474.78
NM_014183	-0.02	9.50E-01	21246.75
NM_130897	-6.86	1.80E-03	242.84
NM_006519	0.00	9.92E-01	14538.01
NM_006520	-0.47	5.04E-01	21520.66
NM_130438	-0.87	1.77E-01	5282.90
NM_001396	-0.74	7.05E-02	25451.58
NM_101395	-0.43	5.55E-02	11208.60
NM_130437	0.54	3.54E-01	542.52
NM_130436	1.36	3.59E-01	1180.76
NM_006483	-1.76	7.42E-02	2275.93
NM_004714	-1.57	1.11E-01	6639.87
NM_006484	-0.41	4.64E-01	1128.84
NM_003583	-0.13	8.75E-01	17357.30
NM_006482	-0.01	9.79E-01	38021.33
NM_001004023	1.92	1.49E-01	1868.79
NM_003582	2.80	4.36E-03	15717.64
NM_003845	0.64	5.03E-01	1324.83
NM_001130987	-0.31	8.62E-01	182.78
NM_001130985	1.24	3.57E-01	70.62
NM_001130982	1.78	4.63E-01	626.89
NM_001130455	2.33	2.91E-01	216.62
NM_001130986	2.61	2.56E-01	211.15
NM_001130981	3.61	3.77E-01	2692.09
NM_001130979	4.32	3.62E-01	3595.89
NM_001130980	4.46	3.61E-01	1303.10
NM_001130983	4.49	3.25E-01	506.59
NM_001130977	5.33	3.25E-01	743.44
NM_001130984	5.93	3.31E-01	1330.10
NM_001130976	6.34	3.46E-01	2748.49
NM_001130978	7.28	3.44E-01	2554.80
NM_003494	7.49	3.47E-01	6166.84
NM_001033559	-0.18	8.30E-01	399.38
NM_001033560	0.29	6.77E-01	360.00
NM_130810	0.40	5.60E-01	686.39
NM_001099407	-1.00	6.37E-02	363.44
NM_014934	5.48	2.65E-01	1288.93
NM_198968	6.67	2.49E-01	2667.33
NM_173543	3.07	2.11E-02	3030.61
NM_014648	0.83	3.43E-01	11173.20
NM_005225	-0.06	9.20E-01	41922.68
NM_004091	-0.38	6.25E-01	21672.81
NM_001949	1.31	6.70E-02	47195.04
NM_001950	0.64	2.03E-01	45590.78
NM_001083588	-0.90	4.47E-01	2003.75
NM_001951	-0.14	8.16E-01	2708.00
NM_001083589	0.35	5.42E-01	341.94
NR_003095	-1.54	4.40E-03	6215.78
NR_003093	-1.20	4.84E-02	3438.04
NR_003094	-0.29	4.48E-01	1903.52
NM_198256	-0.01	9.93E-01	1018.37
NR_003092	0.06	9.34E-01	1451.94
NM_203394	1.87	2.91E-02	38832.11
NM_024680	-0.91	2.77E-01	9565.25
NM_004424	-0.90	3.75E-02	24719.99
NM_033083	-0.76	7.12E-02	39682.50
NM_018456	-2.22	1.38E-01	1465.76
NM_018453	-0.95	2.84E-02	16923.21
NM_001083614	-0.95	1.46E-02	40999.80
NR_003501	0.34	5.76E-01	389.06
NM_198120	-2.06	6.14E-02	2479.42
NM_004215	-0.81	1.50E-02	13139.37
NM_024007	8.41	4.16E-03	1930.79
NM_022659	-1.24	5.14E-01	9.68
NM_001005463	3.61	1.63E-01	1745.47
NM_001110514	-3.63	3.32E-02	3877.87
NM_005755	6.41	2.60E-01	861.03
NM_018029	-0.40	5.81E-01	899.47
NM_001159936	0.50	7.36E-01	494.36
NM_006824	2.10	2.09E-01	33155.48
NM_006579	-0.60	3.19E-01	35921.70
NM_032565	0.19	6.22E-01	15528.19
NM_001135752	0.04	6.47E-01	120.24
NM_001135753	0.10	8.16E-01	1285.71
NM_007265	0.21	6.31E-01	18808.50
NR_024203	0.56	4.91E-01	361.34
NM_001397	-0.57	5.43E-01	3434.70
NM_001113348	0.27	4.70E-01	40078.15
NM_001113347	0.56	2.04E-01	19959.50
NM_001113349	0.68	9.09E-02	53095.51
NM_014693	-0.97	3.85E-01	8.05
NM_032331	-0.92	4.37E-01	4789.58
NM_004826	-7.88	3.44E-01	268.42
NM_001398	-1.48	1.35E-01	28875.08
NM_001105545	1.48	2.04E-01	2208.47
NM_001105544	1.56	1.80E-01	2853.22
NM_001139510	2.40	6.31E-02	5659.22
NM_018479	2.85	2.28E-03	18916.49
NM_001002030	3.34	1.04E-02	13486.14
NM_018281	-0.69	3.55E-01	1440.78
NM_024693	-1.23	2.04E-01	8441.24
NM_004092	-0.33	4.47E-01	39398.07
NM_001919	-0.78	6.24E-02	17055.56
NM_206836	0.93	2.94E-01	392.73
NM_006117	1.61	2.79E-01	1412.59
NM_022664	2.72	2.09E-01	533.55
NM_004425	4.20	3.05E-01	11841.41
NM_001393	3.49	5.66E-02	191.52
NM_001077693	-2.01	1.34E-01	36.12
NM_016581	0.30	4.24E-01	12854.45
NM_001142464	0.31	4.85E-01	1961.06
NR_024551	0.62	1.79E-01	242.35
NM_001142465	1.53	1.02E-03	418.40
NM_018098	-0.54	4.75E-01	957.00
NM_001077706	-1.17	1.56E-01	108.63
NM_001005609	-1.71	1.97E-01	451.59
NM_001399	-1.54	3.14E-01	1212.24
NM_001005611	-0.82	4.47E-01	65.85
NM_001005615	-0.38	7.37E-01	254.66
NM_001005612	1.04	4.33E-01	140.96
NM_001005610	2.14	1.98E-01	152.32
NM_021783	-3.64	3.10E-01	155.18
NM_022336	6.64	3.49E-01	501.25
NM_080738	-1.29	2.57E-01	2692.73
NM_145861	1.85	3.85E-03	868627.82
NM_001142444	-0.57	2.65E-01	12388.46
NM_025083	0.00	9.95E-01	28548.47
NM_001142443	0.26	6.23E-01	1600.35
NM_014329	-0.19	6.82E-01	31361.75
NM_022360	-1.02	3.47E-01	2.03
NM_014674	0.74	4.46E-02	84176.61
NM_001145025	-0.15	6.87E-01	259.06
NR_026728	0.34	4.21E-01	732.27
NM_018217	0.38	7.94E-02	530.94
NM_025191	-0.59	3.22E-01	61631.43
NM_153200	-0.73	5.13E-02	2189.45
NM_003792	-0.40	1.62E-01	43704.69
NM_005711	3.13	5.84E-02	1717.81
NM_001955	-0.82	6.44E-01	13207.46
NM_001956	2.94	4.09E-01	2036.08
NM_207034	-0.32	3.47E-01	0.80
NM_207033	-0.29	3.47E-01	0.82
NM_207032	-0.24	3.47E-01	0.85
NM_001957	3.48	1.90E-01	1176.65
NM_003991	7.93	2.44E-01	243.88
NM_001122659	11.20	1.16E-01	2347.72
NM_000115	12.10	2.53E-01	4401.79
NM_015608	2.08	1.50E-01	1280.71
NM_003566	0.09	8.17E-01	46635.51
NM_152991	0.02	9.72E-01	1692.60
NM_003797	0.84	3.15E-01	8829.83
NM_001402	0.37	8.20E-01	9132.57
NM_001958	-3.77	2.07E-02	115299.89
NM_021121	-0.08	8.39E-01	121.31
NM_001037663	0.22	6.59E-01	25983.21
NM_001959	0.67	2.58E-01	53656.25
NM_001960	-1.11	2.16E-01	23145.84
NM_001130055	-1.11	1.16E-01	2362.84
NM_001130054	-0.50	3.26E-01	20527.11
NM_001130056	-0.39	5.39E-01	37436.95
NM_032378	-0.26	4.91E-01	13518.64
NM_001130057	0.06	9.22E-01	24601.76
NM_001130053	0.41	6.75E-01	504.82
NR_027062	0.59	6.30E-01	44.88
NM_004280	0.94	3.51E-02	10133.25
NM_001135650	1.46	4.70E-02	5071.43
NM_001404	0.31	2.67E-01	261316.04
NM_001961	0.06	8.85E-01	1633835.90
NM_013302	-0.79	6.36E-02	47373.81
NM_021937	0.06	8.47E-01	12473.24
NM_030636	1.69	1.51E-01	6370.02
NR_024605	5.62	1.02E-01	51.49
NM_001142857	6.76	1.09E-01	143.24
NM_024593	7.03	1.29E-01	160.71
NR_027068	0.03	9.61E-01	20.11
NM_145231	-0.41	5.99E-01	1042.13
NM_207307	-2.17	2.84E-01	446.04
NM_152347	-1.18	1.25E-01	498.13
NM_014774	0.10	6.88E-01	61555.26
NR_026587	-0.65	3.71E-01	300.04
NM_001143943	-0.52	3.57E-01	406.57
NM_032328	-0.10	8.29E-01	372.79
NR_026586	0.30	5.98E-01	1135.61
NR_026588	0.31	5.79E-01	574.04
NM_001144933	-3.39	5.90E-03	10.51
NM_173503	-3.37	6.78E-03	10.36
NM_173584	-4.58	1.23E-02	5982.36
NM_032680	-1.01	5.38E-01	327.83
NM_001144958	0.02	9.89E-01	2205.32
NM_001144959	0.45	7.71E-01	1193.02
NM_198529	0.02	9.88E-01	181.10
NR_026738	1.14	4.23E-01	176.01
NM_001145053	2.49	1.14E-01	233.58
NM_022785	-2.11	2.86E-02	214.13
NM_198856	-1.74	3.88E-02	146.09
NM_032437	-0.15	7.06E-01	2023.66
NM_001143967	-0.06	9.71E-01	77.47
NM_024768	-7.11	1.51E-02	1176.33
NM_004105	0.10	9.27E-01	8871.79
NM_001039349	0.18	8.67E-01	39640.84
NM_001039348	0.81	5.05E-01	9101.52
NM_016938	4.17	5.96E-02	14877.75
NM_144715	-4.57	3.28E-01	268.00
NM_018100	-0.72	1.80E-01	7583.61
NM_025184	-3.37	2.13E-01	1148.54
NM_025202	-5.14	3.89E-02	48352.31
NR_027663	-0.55	4.83E-01	1121.38
NM_024329	1.41	5.76E-02	84369.40
NM_004428	-3.62	3.61E-03	17284.01
NM_182685	-2.69	8.97E-04	13060.80
NM_001405	-4.55	1.36E-02	79.17
NM_004952	-4.38	7.79E-02	33532.76
NM_005227	-2.43	3.33E-02	8155.09
NM_182689	-2.33	2.32E-02	2632.95
NM_182690	-1.59	2.12E-02	1587.74
NM_001962	0.76	1.46E-01	17283.00
NM_004429	1.43	4.07E-02	13608.42
NM_004093	1.35	1.91E-01	39281.26
NM_001406	0.83	4.80E-01	8857.94
NM_015137	-0.54	1.07E-01	77686.17
NM_014971	-1.68	4.67E-02	17746.60
NM_005864	-7.38	1.48E-01	32773.07
NM_032459	-5.91	8.83E-03	4789.61
NM_001040610	-0.68	1.87E-01	2503.98
NM_024580	-0.07	8.41E-01	11054.12
NM_001142605	0.21	2.55E-01	794.06
NM_004247	0.53	2.70E-01	78615.76
NM_001963	-6.22	2.17E-01	4989.49
NR_021485	-0.09	9.16E-01	19.49
NM_015507	-5.53	3.36E-01	49.24
NM_016215	-1.34	1.64E-01	4139.36
NM_201446	-1.25	2.13E-01	3849.11
NM_030652	0.31	7.30E-01	2284.04
NM_152403	-0.76	6.69E-01	53.65
NM_182798	3.93	2.05E-01	83.63
NM_182799	4.35	2.20E-01	88.06
NM_182801	5.11	3.54E-01	196.43
NM_201282	-1.12	3.57E-01	94.95
NM_201284	0.68	5.64E-01	124.00
NM_201283	2.10	2.35E-02	2073.82
NM_005228	2.45	3.82E-02	86821.69
NM_022051	0.34	4.32E-01	18228.06
NM_053046	-0.93	3.51E-01	4251.66
NM_080732	-0.11	8.49E-01	30142.80
NM_022073	-0.61	6.86E-01	6109.03
NR_004428	-1.49	3.22E-01	58.54
NM_001964	-3.20	2.07E-01	279889.00
NM_000399	-4.53	2.43E-01	8357.94
NM_001136179	-1.52	1.21E-01	217.63
NM_001136177	-1.18	1.88E-01	189.99
NM_001136178	-0.55	4.50E-01	144.22
NM_004430	-6.01	6.58E-02	37258.19
NM_001965	-3.87	1.99E-01	669.10
NM_001142614	0.37	2.26E-01	6698.93
NM_001142615	0.37	1.46E-01	538.56
NM_015252	0.83	4.09E-01	1437.15
NM_001142616	1.21	2.86E-02	17680.58
NM_001099409	0.99	2.50E-02	47874.95
NM_006795	-0.12	8.64E-01	91482.30
NM_014601	3.41	7.59E-03	213525.16
NM_014600	1.36	1.33E-01	9267.34
NM_139265	0.57	2.63E-01	48276.01
NM_012153	-8.29	1.77E-01	39274.21
NM_001966	-1.99	1.88E-01	12354.62
NM_024757	-0.86	1.28E-02	42546.64
NM_001145527	-0.81	1.10E-02	9746.54
NR_024341	-2.25	1.97E-01	171.96
NM_025256	-0.14	7.19E-01	674.04
NM_006709	-0.08	7.71E-01	10351.08
NM_004879	-0.28	6.67E-01	71336.45
NM_001007277	-0.17	7.71E-01	14649.66
NM_014335	0.21	6.25E-01	100581.49
NM_153232	0.67	1.95E-01	9348.92
NM_152361	1.48	2.05E-02	2319.17
NM_001008394	1.57	2.42E-01	1084.32
NM_005801	0.19	6.31E-01	253015.38
NM_032325	-0.23	3.86E-01	22257.04
NM_001412	0.05	8.75E-01	135963.97
NM_004681	-0.30	3.47E-01	1.23
NM_005875	1.23	4.23E-03	20026.64
NM_032025	0.24	5.78E-01	12903.36
NM_014413	-0.70	1.20E-01	162655.91
NM_001134335	-0.55	1.43E-01	27194.74
NM_002759	0.11	8.52E-01	2468.93
NM_001135651	0.77	8.58E-02	12803.29
NM_001135652	2.22	1.34E-01	982.64
NM_004836	-0.74	6.78E-02	28733.66
NM_001013703	0.88	4.35E-03	46744.74
NM_001414	-0.08	8.62E-01	29164.40
NM_014239	0.75	1.69E-01	23310.04
NM_020365	1.17	1.60E-02	4632.31
NM_015636	-0.82	3.51E-02	7024.47
NM_172195	-0.40	2.38E-01	6199.47
NM_001034116	0.49	3.98E-01	4387.59
NM_003907	-0.31	4.54E-01	17512.54
NM_006893	-0.99	1.19E-01	29256.57
NM_004094	0.76	6.24E-02	115734.22
NM_003908	0.70	3.24E-02	51564.26
NM_001415	0.08	8.11E-01	222838.23
NM_003750	0.21	6.17E-01	236623.75
NM_003751	0.04	9.64E-01	39645.19
NM_001037283	0.66	1.82E-01	142888.14
NM_003752	-3.34	3.54E-02	2541.25
NM_001099661	-1.21	2.84E-03	426.90
NM_003752	-1.07	3.63E-01	3826.20
NM_001037808	0.07	8.86E-01	17307.91
NM_001037808	0.36	8.24E-01	2947.89
NM_001099661	1.06	4.29E-01	3558.12
NM_003753	0.83	7.47E-04	85343.01
NM_001568	0.20	7.15E-01	94428.65
NM_003754	0.11	8.66E-01	306.81
NM_003755	0.90	6.75E-03	28449.00
NM_003756	0.09	8.04E-01	154796.40
NM_003757	0.49	4.12E-01	8834.74
NR_003024	1.31	7.51E-04	3126.48
NM_003758	0.48	1.85E-01	30322.78
NM_013234	0.53	1.46E-01	24210.74
NM_016091	0.56	1.85E-02	86938.42
NM_006360	0.75	1.45E-01	62804.12
NM_001416	1.06	3.97E-02	233992.77
NM_001967	-0.97	2.80E-01	33102.79
NM_014740	0.36	4.51E-01	38144.65
NM_001417	-1.92	1.46E-01	10036.74
NM_001130679	-0.44	4.17E-01	847.81
NM_001130678	0.15	6.71E-01	25961.46
NM_001968	0.71	6.30E-01	347.62
NM_001099408	-6.65	2.94E-01	454.96
NM_004846	0.04	9.21E-01	10943.88
NM_173359	-2.73	1.26E-01	3528.41
NM_001134651	-2.26	7.21E-02	2087.33
NM_001134649	-2.02	6.39E-02	4765.60
NM_001134650	-1.26	2.02E-02	699.92
NM_004095	0.85	2.03E-01	54626.65
NM_004096	-1.31	1.49E-01	251410.93
NM_003732	1.43	2.87E-01	856.65
NM_019843	-0.28	6.67E-01	9619.22
NM_198241	0.10	8.97E-01	123456.57
NM_182917	0.50	2.10E-01	22473.49
NM_198242	0.61	3.44E-01	5758.48
NM_004953	0.70	2.99E-01	15833.16
NM_198244	1.81	6.79E-02	35716.07
NM_001042559	-0.03	9.43E-01	109783.74
NM_001418	0.23	4.49E-01	434879.43
NM_003760	1.92	3.28E-03	23299.12
NM_031992	-0.25	2.57E-01	142810.41
NM_022170	0.05	9.39E-01	24461.31
NM_001969	0.44	3.80E-01	195677.89
NM_183004	0.49	4.93E-01	1314.71
NM_001143761	0.96	3.97E-03	31549.46
NM_001970	1.28	2.73E-02	250038.46
NM_001143760	1.98	2.62E-02	63745.85
NM_001143762	2.66	8.78E-03	4147.70
NM_020390	2.30	2.79E-04	23160.49
NM_001099692	1.35	9.87E-03	127468.77
NM_015904	0.83	4.63E-02	83466.99
NM_002212	-0.06	9.11E-01	7541.25
NM_181468	1.29	4.93E-02	64601.40
NM_181466	1.54	2.77E-02	15979.98
NM_018696	1.02	2.26E-01	2086.51
NM_018127	1.04	1.54E-01	14393.11
NM_001972	2.85	1.61E-01	21.37
NM_001419	0.65	1.58E-02	91127.87
NM_004432	4.38	3.23E-01	2867.71
NM_001420	0.40	5.84E-01	61.40
NM_032281	0.40	5.81E-01	61.59
NM_001144775	-2.21	1.73E-01	3.24
NM_001144777	-2.19	1.78E-01	3.32
NM_001144774	-2.13	1.87E-01	3.17
NM_001144776	-2.11	1.82E-01	3.15
NM_021952	-1.27	4.64E-01	1.66
NM_172373	-0.98	2.36E-01	56606.55
NM_001145353	0.54	4.65E-01	3079.15
NM_201999	-0.95	1.37E-02	12038.51
NM_006874	-0.91	2.63E-02	4318.81
NM_004433	-6.73	1.81E-03	47542.31
NM_001114309	-6.49	3.68E-03	40556.81
NM_001421	0.62	2.71E-01	22866.19
NM_001127197	0.98	1.86E-01	24594.20
NM_001422	-9.04	9.38E-02	25889.07
NM_198381	-3.08	2.60E-02	252.68
NM_001128636	2.71	3.79E-01	3938.66
NM_052906	1.12	5.18E-01	25988.23
NM_005229	-0.21	5.56E-01	25266.82
NM_001114123	0.04	9.19E-01	17045.75
NM_005230	3.16	9.79E-03	42843.73
NM_001973	-0.20	5.65E-01	12840.06
NM_021795	1.16	8.69E-02	2328.51
NM_006532	-0.08	8.47E-01	16875.82
NM_012081	3.99	1.11E-03	142026.70
NM_025165	-4.26	7.51E-03	8858.53
NM_014800	-1.15	5.85E-01	523.14
NM_001039459	-0.75	6.33E-01	97.04
NM_130442	-0.71	6.41E-01	91.75
NM_133171	-0.57	5.55E-02	17365.39
NM_182764	-0.08	8.94E-01	1882.24
NM_024712	-5.26	3.78E-03	15477.96
NM_018712	1.72	2.37E-01	100.91
NM_001130037	2.26	2.69E-01	119.92
NM_153702	-0.70	1.15E-02	6254.23
NM_001135022	-1.29	3.34E-01	914.67
NM_001135023	-0.92	1.39E-01	2387.13
NM_032213	-0.42	5.24E-01	3440.22
NM_001135021	-0.38	1.26E-01	1417.28
NM_194278	-0.99	1.38E-02	54426.69
NM_001043318	-0.77	1.10E-01	27181.73
NM_001081752	-1.77	1.37E-02	28.20
NM_001081754	-1.00	1.53E-01	43.67
NM_001081755	-0.96	3.03E-01	31.97
NM_000501	-0.88	2.66E-01	45.39
NM_001081753	-0.85	2.36E-01	40.56
NM_032377	0.57	3.92E-02	20100.81
NM_022821	0.44	3.92E-01	40602.32
NM_017770	-4.30	1.48E-01	87954.70
NM_152310	-3.30	1.01E-01	1216.98
NM_022726	1.02	2.35E-01	5098.83
NM_021814	0.80	6.90E-02	238108.36
NM_001130721	0.69	3.00E-01	5404.29
NM_024090	1.23	6.76E-02	49667.90
NM_001104558	-1.29	3.82E-02	4663.17
NM_024930	-1.21	7.10E-02	8477.23
NM_018255	-1.58	3.47E-01	47882.93
NM_018091	0.99	3.25E-01	16349.61
NM_019040	-0.08	8.90E-01	7972.09
NM_015362	-0.21	7.17E-01	1460.56
NM_203413	0.08	8.57E-01	4467.13
NM_203415	0.70	4.15E-01	2271.07
NM_203414	0.90	1.15E-01	2989.09
NM_001031703	0.12	8.40E-01	2703.47
NM_022159	7.45	2.97E-01	174.78
NM_198449	0.30	7.01E-01	22806.86
NR_003955	-0.34	7.52E-01	734.79
NM_015047	0.81	6.32E-02	19598.96
NM_175063	-2.70	1.32E-01	3504.12
NM_206538	-1.19	1.30E-01	45811.96
NM_014673	-0.34	4.80E-01	10894.25
NM_018447	0.14	7.74E-01	19473.88
NM_016454	0.40	5.11E-01	4882.27
NM_001014764	1.43	4.08E-01	2190.16
NM_031298	2.73	2.39E-01	3504.86
NM_020154	0.51	1.64E-01	21268.88
NM_006067	0.13	6.54E-01	21252.59
NM_001142288	1.96	5.13E-02	3435.40
NM_016049	-0.44	1.70E-01	4578.77
NM_001159694	-5.61	3.42E-01	487.71
NM_016242	-3.56	3.36E-01	103.07
NM_000117	0.59	2.37E-01	54252.31
NM_152463	0.08	8.56E-01	7795.50
NM_001010865	-2.25	2.08E-02	4657.84
NM_006331	1.05	1.32E-01	17208.86
NM_133455	-5.54	2.15E-03	750.20
NM_007046	5.35	3.47E-01	18670.38
NM_032048	6.56	3.24E-01	16609.46
NM_052846	-1.56	5.99E-02	201.15
NM_004434	0.35	7.15E-01	15978.00
NM_001008707	1.15	3.07E-01	6606.58
NM_012155	-1.70	2.91E-02	6543.75
