Gene ID	Log2Ratio	p-value	Max RPKM
NM_080622	-0.78	2.49E-01	6641.37
NM_001130111	-0.24	5.72E-01	4808.82
NM_031213	-0.03	9.09E-01	82.66
NM_016014	-0.35	6.30E-01	298.34
NM_001025780	0.13	6.73E-01	14908.86
NM_021214	-1.09	1.87E-02	31248.72
NM_152924	-0.68	3.60E-01	170754.26
NM_007011	0.25	8.04E-01	5113.26
NM_138340	-1.01	2.27E-01	8994.52
NM_022060	-0.23	6.43E-01	16816.18
NM_016006	0.51	4.46E-01	27726.52
NM_020676	0.60	3.86E-01	3609.13
NM_024527	0.93	2.39E-01	9257.73
NM_001012750	-0.83	2.39E-01	9409.77
NM_001012752	-0.61	3.76E-01	9826.15
NM_005470	-0.39	5.71E-01	1376.37
NM_001012751	-0.02	9.77E-01	3167.01
NM_005759	0.05	9.40E-01	28215.48
NM_001135186	2.33	4.23E-01	88.87
NM_016428	3.38	3.82E-01	205.90
NM_015429	7.15	1.23E-01	20477.32
NM_007313	0.24	3.53E-01	77977.15
NM_005157	2.89	3.88E-02	74856.02
NM_005158	1.46	4.28E-02	12736.12
NM_007314	1.77	4.27E-02	22462.23
NM_001136001	2.18	3.50E-02	728.87
NM_001136000	3.43	9.73E-02	16182.06
NM_001100108	3.53	2.92E-02	33578.73
NM_002313	-2.53	1.04E-01	17832.70
NM_001003408	-2.32	3.13E-02	6280.33
NM_001003407	-1.42	2.62E-01	19460.77
NM_006720	-1.33	3.41E-01	95115.91
NM_001130084	-3.07	1.12E-01	227.29
NM_032432	-2.55	7.30E-02	160.80
NM_001130087	-2.21	1.61E-01	119.86
NM_001130086	-2.21	2.53E-01	312.15
NM_001130085	-2.12	3.46E-01	88.92
NM_001130083	-1.49	4.13E-01	63.14
NM_001130088	-0.60	6.64E-01	117.15
NM_014945	0.78	5.70E-01	5145.53
NM_020469	-0.51	3.47E-01	0.70
NM_001092	0.68	3.28E-01	33738.33
NM_021962	1.21	1.87E-01	11888.45
NM_001159746	1.76	4.32E-01	2673.98
NM_139166	-1.60	1.84E-01	33.17
NM_021243	0.11	8.18E-01	7817.12
NM_013375	0.27	3.15E-01	21879.27
NM_032548	-0.12	7.99E-01	456.67
NM_172028	-0.11	8.43E-01	688.98
NM_172027	0.79	4.74E-01	3572.29
NM_145804	-0.29	6.79E-01	16565.14
NR_027110	-1.60	5.43E-01	6.42
NR_027069	1.19	3.75E-01	1021.39
NR_027334	-0.42	5.41E-01	2527.74
NM_001008737	-1.00	1.29E-01	2769.89
NR_026681	-3.05	2.07E-01	8.26
NR_002809	-2.20	1.74E-02	1479.88
NR_027253	-0.47	3.70E-01	452.72
NM_001607	-0.38	7.76E-01	2315.01
NM_001130410	0.55	7.72E-01	227.76
NM_006111	2.05	1.89E-04	19931.74
NM_198837	-1.30	2.81E-01	8295.60
NM_198838	-0.73	3.54E-01	10028.32
NM_198836	-0.16	9.00E-01	13915.05
NM_198839	0.16	6.35E-01	2149.51
NM_198834	1.10	2.56E-01	45950.73
NM_001093	-1.06	2.23E-01	1703.67
NM_001136538	-1.96	7.08E-03	5552.88
NM_025247	-1.12	8.87E-02	17397.27
NM_001136542	-0.29	5.36E-01	794.06
NM_032169	1.08	1.08E-01	19201.17
NM_014384	-0.38	6.49E-01	7558.73
